36,36,D3552,FORD ROAD PARK (NO. 219),B-RE-0257,219,FORD ROAD,BURBANK,4156,153.144004,-27.58394036,2425.747767,164314.6127
37,37,D3556,SPOTTED GUM PARK,B-RE-0256,30,SPOTTED GUM STREET,HEATHWOOD,4110,152.9913658,-27.63895097,220.0953696,2526.650397
38,38,D3557,JIMNA STREET PARK,B-RE-0255,5,JIMNA STREET,THE GAP,4061,152.949957,-27.44271841,204.7143696,2944.390598
39,39,D3559,LUGG STREET PARK (NO. 94),B-RE-0254,94,LUGG STREET,BARDON,4065,152.9912973,-27.44907798,142.7144397,1177.287353
40,40,D3560,MARELLA STREET PARK,B-RE-0253,2,MARELLA STREET,BOONDALL,4034,153.059786,-27.36051269,95.20882004,556.0602059
41,41,D3563,MOSSVALE STREET PARK (NO. 34),B-RE-0252,34,MOSSVALE STREET,ASHGROVE,4060,152.9982871,-27.44859154,385.0181205,3710.738412
42,42,D3564,MURARRIE ROAD PARK (NO. 274),B-RE-0251,274,MURARRIE ROAD,TINGALPA,4173,153.1153799,-27.47043184,1610.501244,129344.065
43,43,D3572,NEW IVO STREET PARK,B-RE-0250,26,NEW IVO STREET,NUNDAH,4012,153.0673121,-27.39859531,234.7041227,2832.334545
44,44,D3592,SANDSTONE PLACE PARK,B-RE-0248,9,SANDSTONE PLACE,PARKINSON,4115,153.0376062,-27.65770997,385.2645312,5863.093282
45,45,D3613,WATT PARK,B-RE-0247,5,WELLINGTON ROAD,EAST BRISBANE,4169,153.0396485,-27.48971884,147.3759871,1023.986406
46,46,D3614,LILLY PILLY PLACE PARK,B-RE-0246,37,LILLY PILLY PLACE,MOGGILL,4070,152.8766135,-27.57435938,284.0232849,2108.421842
47,47,D3633,CARTER STREET PARK,B-RE-0245,55A,CARTER STREET,NORTHGATE,4013,153.0732444,-27.38735908,1086.773751,10666.29638
48,48,D3652,STRETTON WETLAND RESERVE,B-RE-0701,942,GOWAN ROAD,STRETTON,4116,153.0602597,-27.63551347,3564.513006,227542.6943
49,49,D3672,HONEYEATER STREET PARK,B-RE-1157,21,HONEYEATER STREET,UPPER KEDRON,4055,152.9153299,-27.42266332,6011.973702,263550.1319
50,50,D3692,WATERFORD ROAD PARK,B-RE-1156,567,WATERFORD ROAD,ELLEN GROVE,4078,152.9562937,-27.6144678,639.5039504,25369.78553
51,51,D3712,NORTHSHORE RIVERSIDE PARK,B-RE-1155,76A,PARKSIDE CIRCUIT,HAMILTON,4007,153.0857678,-27.44495028,1779.331141,30692.63031
52,52,D3733,NORTHMARQUE STREET PARK,B-RE-1154,23A,NORTHMARQUE STREET,CARSELDINE,4034,153.0172035,-27.34214833,211.294841,2500.166479
53,53,D3752,HACKNEY STREET PARK,B-RE-1153,15,HACKNEY STREET,DURACK,4077,152.9944382,-27.59674299,815.3491837,35793.16687
54,54,D3753,PARKSIDE CIRCUIT PARK ,B-RE-0012,25,PARKSIDE CIRCUIT,HAMILTON,4007,153.0876912,-27.44456165,234.597553,1340.92259
55,55,D3754,OLD SHORELINE PARK,B-RE-1152,351,MACARTHUR AVENUE,HAMILTON,4007,153.0845072,-27.44098149,336.5717492,6808.959535
56,56,D3755,LYDIA PLACE PARK,B-RE-1151,20,NICHOLS STREET,GUMDALE,4154,153.1609351,-27.49113882,276.9805293,4958.142676
57,57,D3757,KEN VANSTONE PARK,B-RE-1150,9,ALTITUDE STREET,ROCHEDALE,4123,153.1207495,-27.57535469,416.7172244,10044.97317
